,age,nombre_payment,maturite,taux,montant
0,20.0,11.0,26.0,0.00881362685502108,5390.0
1,18.0,13.0,15.0,0.0017901467844603186,5347.0
2,23.0,8.0,14.0,0.01784306848134561,5590.0
3,18.0,1.0,28.0,0.016677814752169284,2873.0
4,24.0,4.0,25.0,0.017904392820120994,2711.0
5,18.0,24.0,30.0,0.002309539859960086,2856.0
6,20.0,3.0,29.0,0.012975142027983284,1401.0
7,20.0,2.0,6.0,0.019374380376983247,5471.0
8,18.0,10.0,35.0,0.014674735307363334,2945.0
9,22.0,4.0,11.0,0.005314352360548797,5156.0
10,24.0,14.0,29.0,0.003513857960824733,1200.0
11,22.0,18.0,40.0,0.0022220386872843735,3763.0
12,19.0,13.0,40.0,0.004243922131214543,5815.0
13,22.0,8.0,15.0,0.010664301030881628,1920.0
14,19.0,3.0,4.0,0.007879332343537892,5043.0
15,21.0,11.0,26.0,0.005467760283963347,6172.0
16,20.0,5.0,5.0,0.00547588112010873,5246.0
17,24.0,21.0,25.0,0.01584773501130456,5538.0
18,18.0,2.0,10.0,0.01586234335352623,6332.0
19,18.0,32.0,33.0,0.0047417301876564715,7444.0
20,19.0,9.0,9.0,0.0038682132889729564,6178.0
21,23.0,24.0,33.0,0.007216812228674594,6220.0
22,18.0,3.0,6.0,0.017143245330629695,1713.0
23,18.0,24.0,41.0,0.009881760754854068,5256.0
24,24.0,4.0,4.0,0.0020986348132261013,5442.0
25,23.0,14.0,20.0,0.008521892724303363,6872.0
26,21.0,24.0,24.0,0.004692411363928934,3228.0
27,22.0,8.0,41.0,0.012655561540403551,3538.0
28,24.0,15.0,31.0,0.01932501145969541,6518.0
29,19.0,12.0,13.0,0.01553853779316191,7011.0
30,21.0,7.0,11.0,0.010335928836966227,1878.0
31,22.0,1.0,3.0,0.01605061145204725,7212.0
32,19.0,35.0,38.0,0.019017473972812168,3823.0
33,19.0,9.0,26.0,0.01845862367244737,1269.0
34,23.0,3.0,3.0,0.01749286434984273,5327.0
35,24.0,2.0,21.0,0.010432026634827805,2414.0
36,22.0,4.0,28.0,0.018055521064641457,6004.0
37,21.0,27.0,32.0,0.018294881046828023,1487.0
38,20.0,2.0,6.0,0.014313556848294905,6838.0
39,18.0,3.0,17.0,0.013654338444023261,4469.0
40,20.0,16.0,30.0,0.01948597977526441,2305.0
41,18.0,19.0,40.0,0.0010695327271919239,5267.0
42,22.0,7.0,11.0,0.01877441241430608,3534.0
43,22.0,32.0,34.0,0.010892135399347257,7722.0
44,23.0,25.0,25.0,0.005480199671370098,7926.0
45,23.0,1.0,1.0,0.01545195799668134,5661.0
46,23.0,12.0,38.0,0.018446523479715392,6620.0
47,19.0,10.0,30.0,0.017586282995296045,7821.0
48,21.0,3.0,38.0,0.017710428322001676,7245.0
49,24.0,22.0,42.0,0.0037199365772916087,4863.0
50,19.0,1.0,39.0,0.014848555763377461,1183.0
51,24.0,4.0,8.0,0.014914166714933605,5231.0
52,20.0,1.0,16.0,0.019149061930721047,1433.0
53,24.0,31.0,40.0,0.004397306466789151,5302.0
54,22.0,4.0,12.0,0.014593108431671463,6561.0
55,24.0,4.0,38.0,0.008730585673650468,6025.0
56,24.0,35.0,37.0,0.015476517350997927,6285.0
57,24.0,1.0,36.0,0.0014701307203860278,5341.0
58,19.0,4.0,4.0,0.009932463964110433,6319.0
59,20.0,1.0,5.0,0.015695586178051,5279.0
60,21.0,22.0,32.0,0.019760456869544717,2527.0
61,24.0,2.0,19.0,0.014703244948299821,3888.0
62,21.0,18.0,35.0,0.014391678213604292,4105.0
63,22.0,6.0,10.0,0.0177243523285801,4487.0
64,19.0,1.0,1.0,0.019743262648002913,2412.0
65,24.0,2.0,8.0,0.01667913944700825,4957.0
66,18.0,31.0,37.0,0.002651847129285634,5370.0
67,23.0,5.0,33.0,0.019593807849015654,6001.0
68,24.0,11.0,22.0,0.01505473946878427,3574.0
69,23.0,20.0,37.0,0.014913415958803664,2676.0
70,19.0,22.0,42.0,0.0017676920539067694,6523.0
71,23.0,33.0,34.0,0.0130909199062961,2519.0
72,22.0,2.0,23.0,0.005469908511703253,6117.0
73,22.0,9.0,20.0,0.015538742197692877,7712.0
74,18.0,8.0,13.0,0.013020889698206434,1309.0
75,21.0,3.0,14.0,0.018234035777029003,6815.0
76,19.0,11.0,20.0,0.015762400998125557,1115.0
77,24.0,13.0,34.0,0.010850224750536434,2805.0
78,22.0,10.0,16.0,0.018864051937503144,1718.0
79,20.0,10.0,13.0,0.015186421358226065,2569.0
80,19.0,27.0,31.0,0.009727844310488194,5701.0
